ch4,ch5,ch3
-0.000735,-0.014835,0.000159
-0.001432,-0.012602,-0.001631
-0.001515,-0.0114,-0.004561
-0.000683,-0.011923,-0.004342
0.000182,-0.012283,-0.001668
-0.000657,-0.011796,-0.00084
-0.001775,-0.009766,-0.000708
-0.000171,-0.009531,-0.000814
0.001303,-0.011337,-0.002493
0.000794,-0.01183,-0.004029
0.000723,-0.010425,-0.00422
0.002057,-0.009651,-0.003974
0.003538,-0.009478,-0.00355
0.002824,-0.0089,-0.003203
0.000121,-0.009115,-0.002358
-0.001767,-0.009929,-0.001326
-0.002185,-0.011276,-0.000474
-0.002179,-0.012336,0.000601
-0.00382,-0.013576,-1e-06
-0.004198,-0.013584,-0.001782
-0.002907,-0.013465,-0.002846
-0.00168,-0.012518,-0.00231
-0.001621,-0.01139,-0.001609
-0.001054,-0.011004,0.000952
-0.000416,-0.011957,0.002832
-0.00017,-0.013339,0.002262
-0.000302,-0.014296,0.00092
-0.000988,-0.01456,0.001341
-0.001509,-0.016082,0.002013
-0.00067,-0.017346,0.00178
7.1e-05,-0.017065,0.001256
-0.001135,-0.015065,0.001194
-0.002651,-0.014343,0.000444
-0.002237,-0.013313,-0.000112
-0.000506,-0.011276,-0.00169
0.000539,-0.011017,-0.003543
0.001106,-0.013398,-0.004021
0.001639,-0.01729,-0.003918
0.001018,-0.018167,-0.004609
-0.000911,-0.015749,-0.005211
-0.002477,-0.012977,-0.003679
-0.003288,-0.011107,-0.001378
-0.003394,-0.009347,0.00037
-0.00163,-0.007972,0.001137
0.001518,-0.008618,0.000661
0.004259,-0.010639,-0.001114
0.003664,-0.013489,-0.002424
-2.4e-05,-0.014866,-0.002821
-0.003908,-0.013766,-0.00353
-0.005393,-0.012671,-0.003062
-0.00535,-0.010483,-0.002232
-0.004625,-0.008059,-0.002677
-0.005084,-0.007027,-0.004044
-0.005136,-0.006651,-0.004205
-0.003722,-0.007879,-0.003463
-0.002208,-0.009422,-0.003338
-0.001673,-0.009408,-0.003165
-0.001566,-0.009384,-0.002767
5.5e-05,-0.011031,-0.002184
0.002211,-0.012666,-0.000998
0.000977,-0.013577,-0.000855
-0.001179,-0.013899,-0.000489
-9.3e-05,-0.012886,-0.001707
0.000786,-0.012157,-0.004034
0.000285,-0.014497,-0.004252
-0.000803,-0.016919,-0.004295
-0.002002,-0.01612,-0.004339
-0.003822,-0.014423,-0.004735
-0.005292,-0.015859,-0.004448
-0.005146,-0.019437,-0.002752
-0.003861,-0.022129,-0.001252
-0.002616,-0.021514,-0.000325
-0.004389,-0.019951,0.000631
-0.00681,-0.019606,0.001157
-0.007046,-0.018061,0.000351
-0.006812,-0.016225,-0.000818
-0.004574,-0.015792,-0.000786
-0.001568,-0.016853,0.000222
0.001084,-0.015616,0.001823
0.000175,-0.011666,0.001201
-0.000904,-0.010346,-0.000733
0.000142,-0.010956,-0.002294
0.001209,-0.010834,-0.003953
0.001302,-0.009908,-0.004722
0.001173,-0.010307,-0.004653
0.001697,-0.011193,-0.004251
0.002843,-0.011305,-0.004786
0.001787,-0.010902,-0.005004
-0.001172,-0.010107,-0.004386
-0.003617,-0.010097,-0.00464
-0.005018,-0.010894,-0.004023
-0.005796,-0.010394,-0.002907
-0.005545,-0.009491,-0.003258
-0.005038,-0.008052,-0.003894
-0.003089,-0.008328,-0.006223
-0.001499,-0.010066,-0.008389
-0.002537,-0.010943,-0.007133
-0.003798,-0.010878,-0.003624
-0.002919,-0.012181,-0.001297
-0.002101,-0.014194,-0.001909
-0.001872,-0.014488,-0.003543
-0.002483,-0.01263,-0.002225
-0.00236,-0.011817,-0.000759
-0.002544,-0.013001,-0.002566
-0.004325,-0.015703,-0.002903
-0.004515,-0.017728,-0.001578
-0.002865,-0.018995,-0.002422
-0.001368,-0.019676,-0.003708
-0.000698,-0.019756,-0.003083
0.00021,-0.020072,-0.001066
0.000919,-0.019561,-0.001092
0.000476,-0.017288,-0.001493
-0.000231,-0.016385,-0.002048
-0.001183,-0.017961,-0.003732
-0.002436,-0.01833,-0.005133
-0.00201,-0.014918,-0.004183
0.000421,-0.013256,-0.002835
0.001762,-0.015102,-0.00221
0.0018,-0.0162,-0.001418
-0.000424,-0.014907,-0.001039
-0.003375,-0.011844,-0.001068
-0.004521,-0.009353,-0.000674
-0.004196,-0.009106,-0.001041
-0.00385,-0.010062,-0.001494
-0.003648,-0.01016,-0.002196
-0.003266,-0.009623,-0.00275
-0.003472,-0.008645,-0.00355
-0.00203,-0.007169,-0.003531
0.001047,-0.008206,-0.001606
0.002973,-0.009215,-0.001156
0.00136,-0.009521,-0.001268
0.000236,-0.008684,-0.001763
0.000496,-0.008004,-0.001402
0.000511,-0.008419,-0.001154
0.000769,-0.008856,-0.001939
